#{"t_start": 1684228389.0110462, "env_id": "ur5e-v0"}
r,l,t
-4.780497,11,7.731503
-8.081983,1,7.932395
-7.975266,1,8.14977
-11.037826,1,8.368426
-8.02233,1,8.569293
-9.684858,2,8.927896
-5.131757,1,9.138878
-8.053224,1,9.35146
-8.015995,1,9.55214
-6.2421,1,9.762556
-7.498975,12,14.206119
-28.106268,23,21.250396
-6.490113,13,24.551155
-2.470916,13,29.739696
-8.434015,14,35.24576
-2.575258,11,39.632017
-4.948945,1,39.808659
-8.092097,1,40.077176
-8.0035,1,40.295732
-7.996739,1,40.50497
-4.939354,1,40.727996
-9.893578,2,41.07982
-9.925161,2,41.483836
-5.280021,1,41.706871
-8.696729,1,41.954237
-14.433927,4,42.566777
-14.509993,4,43.239692
-9.974067,2,43.594325
-4.786935,1,43.798476
-12.110757,3,44.263962
-7.262368,2,44.616889
-7.038312,2,45.016824
-9.501495,2,45.37216
-7.767156,2,45.755538
-7.937175,1,45.97078
-4.646859,1,46.178872
-13.549092,2,46.542798
-5.236807,1,46.758801
-8.041436,1,46.965277
-13.80346,2,47.353722
-10.646708,1,47.552754
-5.221451,1,47.772683
-8.55131,1,47.986436
-7.98702,1,48.197325
-7.028098,2,48.610979
-10.725773,1,48.818448
-7.93308,1,49.023722
-13.179625,2,49.386451
-16.308405,4,50.115385
-4.639744,1,50.327752
-6.938086,2,50.681794
-5.060303,1,50.872898
-7.17751,1,51.081944
-6.383767,1,51.291403
-8.792473,12,55.280101
-8.363386,14,60.935045
-2.651435,11,65.337256
-13.058872,3,65.920892
-10.978672,1,66.178719
-10.145769,2,66.539518
-7.922358,1,66.745344
-7.890649,1,66.953964
-8.047241,1,67.160214
-7.863329,1,67.372582
-8.156339,1,67.576854
-8.103005,1,67.780301
-8.016263,1,67.99526
-5.0097,1,68.20666
-8.151737,1,68.430831
-12.905748,5,69.19574
-4.912994,1,69.404815
-7.081904,2,69.76597
-4.98359,1,69.989076
-11.022711,4,70.652559
-8.00251,1,70.873879
-5.021797,1,71.084899
-12.170936,3,71.585388
-7.020222,2,71.956902
-5.077901,1,72.160315
-7.975406,1,72.366986
-11.994564,3,72.88139
-7.78622,1,73.094913
-4.963516,1,73.302876
-5.121632,1,73.510827
-4.788795,1,73.722336
-5.005391,1,73.920833
-9.951924,2,74.288343
-6.954796,2,74.654038
-8.0111,1,74.860066
-8.181832,1,75.070487
-4.744502,1,75.331412
-8.15405,1,75.534574
-5.032323,1,75.744912
-5.009183,1,75.956043
-8.04813,1,76.161003
-11.49006,11,80.257921
-7.773299,11,82.887488
-3.068609,1,83.105362
-2.998377,2,83.480034
-8.487803,12,87.988536
-12.450033,14,91.396795
-6.691613,12,94.190178
-2.957908,1,94.455106
-5.051201,1,94.695899
-8.136982,1,94.899848
-10.002139,2,95.2712
-7.839029,1,95.475124
-8.041589,1,95.688673
-4.997289,1,95.885252
-7.927882,1,96.094989
-5.04805,1,96.303435
-7.168274,2,96.671897
-7.847803,1,96.886293
-5.252677,1,97.095685
-8.168341,1,97.3554
-7.976491,1,97.578327
-11.039976,1,97.779027
-7.982063,1,97.979032
-7.956494,1,98.199616
-7.950069,1,98.420341
-4.947549,1,98.6287
-7.956916,1,98.846435
-8.141555,1,99.049845
-7.048716,2,99.464836
-4.861022,1,99.670877
-7.595663,1,99.880112
-7.434017,2,100.240262
-5.15641,1,100.502892
-15.503336,13,105.253613
-12.325541,14,110.707479
-11.580867,11,115.24307
-12.370145,16,121.309669
-4.647606,10,125.563752
-10.193215,3,126.216687
-10.920308,4,126.953406
-7.95017,1,127.23973
-12.599148,3,127.79371
-7.85398,1,128.001204
-7.772059,1,128.206673
-8.014299,1,128.420988
-7.920664,1,128.639555
-11.206203,1,128.902853
-11.977115,3,129.416041
-10.323308,2,129.788264
-8.257469,1,130.066337
-4.837753,1,130.316432
-9.955813,2,130.732974
-7.831541,1,130.938834
-11.651411,3,131.464995
-7.926831,1,131.730062
-11.215384,1,131.999333
-10.932949,1,132.200341
-8.289113,1,132.407112
-8.01556,1,132.63266
-8.058928,1,132.842914
-4.666322,1,133.055101
-7.292569,2,133.410257
-9.861785,2,133.783937
-7.733615,1,134.046924
-11.721393,3,134.623904
-5.127689,1,134.832324
-7.543519,1,135.041385
-4.818345,1,135.244514
-5.054914,1,135.452934
-7.925054,1,135.673683
-13.032266,5,136.518074
-8.431834,1,136.72887
-8.610445,1,136.933259
-5.190337,1,137.139862
-5.042469,1,137.356115
-8.978479,3,137.877145
-8.555042,1,138.091472
-8.332344,1,138.305897
-10.04634,2,138.66345
-7.991477,1,138.880007
-4.327132,1,139.111748
-20.456743,18,145.33861
-10.445602,12,148.315112
-14.641819,11,152.665454
-2.818852,2,153.273106
-18.424617,15,157.268487
-8.532679,11,161.788879
-8.670343,10,164.226018
-12.486879,14,167.532506
-6.752405,10,171.71486
-6.657509,12,176.117992
-28.452861,13,180.475962
-26.147239,20,188.575613
-4.660229,11,192.971144
-6.76697,14,197.749909
-10.030383,5,198.942872
-8.993226,3,199.528049
-8.129877,1,199.743999
-7.973292,1,199.958303
-9.840285,2,200.331139
-4.989351,1,200.541175
-8.062548,1,200.748566
-10.123293,2,201.124793
-4.961591,1,201.39165
-8.032807,1,201.649719
-7.922383,1,201.862576
-4.927369,1,202.076634
-15.328827,3,202.603823
-10.181998,2,202.966192
-8.05395,1,203.178014
-5.022391,1,203.390682
-4.96677,1,203.608878
-10.212425,2,203.98139
-7.486451,2,204.349529
-7.750588,1,204.607271
-5.62735,1,204.828313
-4.660539,1,205.077252
-5.19662,1,205.288106
-7.802296,1,205.489045
-8.035592,1,205.692144
-7.929155,1,205.894776
-7.900847,1,206.096581
-7.826813,1,206.30999
-10.940838,1,206.517557
-8.129947,1,206.95983
-7.237922,1,207.240972
-2.985505,1,207.4514
-8.673957,12,211.381426
-7.048577,2,211.745156
-8.107813,1,211.943404
-8.0581,1,212.161524
-5.237708,1,212.374224
-7.742866,1,212.621789
-8.419301,1,212.828396
-8.122922,1,213.035551
-8.805228,2,213.40733
-9.88975,11,217.162584
-10.007699,2,217.527402
-4.83107,1,217.742403
-8.015991,1,217.959082
-8.058655,1,218.169402
-7.853449,1,218.387392
-10.016322,2,218.769896
-7.667759,1,218.971328
-7.06885,2,219.356382
-8.325714,1,219.56364
-14.686047,13,224.300304
-15.544853,12,227.696672
-9.724805,10,232.092633
-7.99995,1,232.317108
-7.927344,1,232.531511
-8.030721,1,232.74791
-5.049206,1,232.947505
-5.085116,1,233.163081
-5.040718,1,233.37581
-8.038147,1,233.599996
-7.746231,1,233.799088
-7.988042,1,234.063891
-8.372262,1,234.281516
-7.922853,1,234.503848
-10.599088,12,237.159808
-16.336906,14,242.930021
-14.371612,13,248.35662
-11.571167,12,253.464908
-10.789151,12,258.089188
-4.847698,1,258.294956
-8.032402,1,258.511539
-4.777032,1,258.726142
-12.171416,3,259.267353
-8.321713,1,259.477992
-4.685563,1,259.691794
-7.867812,1,259.956829
-4.639531,1,260.217935
-8.503698,1,260.435834
-7.884521,1,260.635965
-4.98284,1,260.870935
-7.34331,2,261.229661
-5.357268,1,261.45593
-7.685918,1,261.667104
-7.99177,1,261.882602
-8.668921,1,262.092264
-7.930901,1,262.294153
-8.158071,1,262.517348
-6.851016,2,262.874713
-10.470183,2,263.245187
-8.192708,1,263.456804
-7.318401,1,263.665997
-8.712002,1,263.886263
-15.328918,3,264.401424
-8.292424,1,264.692984
-7.225612,1,264.957952
-9.962883,2,265.332219
-4.729693,1,265.548291
-8.059028,1,265.748484
-11.668032,3,266.342867
-12.112812,3,266.877025
-8.005819,1,267.083904
-7.488496,1,267.296752
-4.403489,1,267.501533
-7.037444,2,267.881229
-7.994318,1,268.086148
-8.094533,1,268.30086
-8.585136,1,268.523584
-7.751939,1,268.72249
-6.751282,2,269.095361
-8.032126,1,269.305305
-4.723722,1,269.506683
-10.124562,2,269.877105
-8.015914,1,270.079449
-8.807708,1,270.350802
-4.748819,1,270.559891
-7.884275,1,270.770562
-8.274601,1,270.977183
-8.129693,1,271.181363
-7.792785,1,271.39347
-5.301218,1,271.612906
-11.255932,1,271.822868
-10.555587,4,272.512031
-7.945088,1,272.764775
-8.070438,1,272.978992
-7.77093,2,273.33291
-7.840327,1,273.588671
-5.283107,1,274.077137
-4.522576,1,274.384895
-19.553783,14,279.491949
-18.830928,13,284.216996
-8.089407,1,284.446021
-5.128618,1,284.706105
-8.19508,1,284.929482
-5.034325,1,285.134014
-6.977184,2,285.502233
-8.027075,1,285.711184
-8.19677,1,285.920867
-5.054284,1,286.132802
-4.983844,1,286.345883
-12.137466,3,286.89025
-7.835452,1,287.098343
-5.010927,1,287.357844
-5.117598,1,287.57107
-8.022066,1,287.787694
-8.011455,1,288.002881
-10.958807,11,291.951013
-13.13168,13,296.180784
-7.861396,1,296.379633
-11.111218,1,296.587054
-7.805212,1,296.798558
-7.98386,1,297.015207
-5.173625,1,297.2236
-11.066619,1,297.433193
-4.924484,1,297.648454
-7.877055,1,297.860413
-6.817733,2,298.280889
-7.912167,1,298.499262
-8.039277,1,298.712588
-7.651764,1,298.928998
-7.937635,1,299.146574
-7.707922,1,299.359475
-14.933926,3,299.890167
-4.627732,1,300.109113
-8.393818,1,300.387331
-7.974254,1,302.401971
-7.887764,1,302.615542
-4.854832,1,302.887901
-5.23443,1,303.092135
-7.993706,1,303.305934
-5.326283,1,303.516012
-7.810678,1,303.734137
-7.010937,2,304.102265
-5.232682,1,304.319387
-10.309417,2,304.738333
-4.95725,1,304.949247
-8.287205,1,305.168716
-12.556281,3,305.691494
-7.56654,1,305.890559
-8.337751,1,306.09769
-8.346259,1,306.306957
-8.290737,1,306.513814
-8.153653,1,306.710131
-8.456245,1,306.919212
-8.667572,1,307.125473
-8.143147,1,307.324795
-7.944617,1,307.531034
-8.422946,1,307.734125
-7.972833,1,308.005293
-7.745098,1,308.200403
-11.083945,1,308.42121
-8.305209,1,308.627368
-8.3244,1,308.832408
-8.22315,1,309.037271
-7.51773,1,309.244931
-5.030729,1,309.456042
-8.05586,1,309.675792
-7.254043,2,310.09778
-8.095686,1,310.30261
-7.834019,1,310.521693
-4.980986,1,310.730975
-12.696053,11,314.51456
-5.284293,1,314.732977
-4.944909,1,314.954325
-4.861992,1,315.168795
-5.011077,1,315.375371
-6.801704,2,315.74279
-8.134705,1,315.965282
-7.934996,1,316.215441
-6.975007,2,316.590117
-13.819511,4,317.286112
-8.016558,1,317.493605
-5.266479,1,317.723125
-7.954531,1,317.922172
-8.014948,1,318.128628
-7.692343,1,318.345156
-7.843398,1,318.554418
-4.999705,1,318.76851
-8.277815,1,318.985599
-7.946969,1,319.192228
-7.059047,2,319.565197
-8.184175,1,319.793107
-5.034745,1,320.058064
-8.086673,1,320.252748
-9.756502,2,320.645085
-6.911562,2,321.066011
-5.16853,1,321.276692
-8.066274,1,321.486509
-10.009558,2,321.862896
-10.508897,2,322.243603
-5.03324,1,322.466383
-8.362787,1,322.678409
-7.969242,1,322.88833
-10.31384,2,323.260438
-7.754486,1,323.473318
-7.924973,1,323.692612
-12.541261,11,327.684677
-33.222353,20,332.795632
-16.71863,13,335.83912
-9.968065,2,336.198069
-8.000601,1,336.414585
-7.863683,1,336.625567
-10.510493,2,337.007186
-7.982334,1,337.210305
-7.806028,1,337.422841
-8.142814,1,337.636761
-7.896051,1,337.847423
-4.862439,1,338.108296
-7.936953,1,338.326079
-8.173459,1,338.539962
-9.538151,2,338.912871
-8.044679,1,339.126865
-8.34338,1,339.332715
-4.920012,1,339.547807
-7.850137,1,339.756004
-7.16269,2,340.1264
-20.569654,14,345.196509
-15.549035,13,350.179059
-20.66356,14,353.40911
-44.438536,27,359.759768
-7.120486,2,360.0517
-25.876202,10,361.96504
-6.999721,2,362.445354
-25.14187,11,365.551955
-8.940677,4,366.577303
-3.073993,3,367.158
-7.014827,2,367.665333
-14.043938,9,369.528874
-7.868911,2,370.089005
-8.948332,3,371.099849
-2.964257,3,371.970152
-3.010277,3,372.978035
-5.924714,5,374.422155
-2.847299,14,377.995834
-5.955456,1,378.371565
-6.961813,7,380.129567
-4.87364,3,380.807727
-4.986421,4,381.76908
-7.875942,2,382.24394
-19.592136,12,385.503575
-11.93902,3,386.349238
-18.602995,10,389.130848
-14.996418,3,389.721382
-5.008959,1,389.916696
-13.983632,4,390.638961
-15.012583,3,391.156832
-10.999753,1,391.349981
-11.004022,1,391.596706
-11.010377,1,391.850469
-12.993257,2,392.280379
-7.989781,1,392.485225
-11.0029,1,392.743812
-4.99999,1,392.935371
-7.98805,1,393.132898
-7.967962,1,393.415842
-22.684459,10,397.716098
-20.648371,11,400.75116
-7.982351,1,400.973959
-7.01825,2,401.516304
-7.997354,1,401.843039
-27.059236,10,404.216755
-13.86879,11,406.510096
-7.992498,1,406.77112
-17.95549,6,407.862407
-9.990243,2,408.31356
-13.984959,11,410.751142
-17.632345,12,413.49934
-26.767822,16,417.709521
-13.601337,11,420.667909
-31.727565,20,428.030572
-18.622319,11,431.128663
-8.014837,1,431.323415
-16.959291,11,433.644235
-7.979842,1,433.882052
-7.001399,2,434.322342
-11.005103,1,434.538129
-13.002952,2,434.983361
-8.006597,1,435.197181
-8.018261,1,435.42294
-7.999659,1,435.642631
-10.007635,2,436.135695
-5.000577,1,436.344655
-9.133072,11,438.813573
-5.017479,1,439.304774
-8.012616,1,439.442645
-14.945687,12,442.060187
-11.02136,1,442.378936
-7.968143,1,442.598387
-16.998385,4,443.430043
-6.993538,2,443.808345
-7.997085,1,444.052019
-8.019323,1,444.29683
-16.990279,4,445.173614
-5.007798,1,445.424971
-8.001599,1,445.6653
-7.918288,1,445.927681
-8.006795,1,446.120229
-18.758383,17,450.041665
-29.182781,21,455.475574
-6.667451,10,458.371826
-8.006017,1,458.682755
-10.955292,1,458.928801
-7.981753,1,459.103968
-15.039834,12,461.65673
-10.998281,1,461.972863
-8.000458,1,462.260063
-7.011723,2,462.757225
-5.005197,1,463.067637
-8.000709,1,463.381001
-7.975666,1,463.738077
-7.994906,1,464.021224
-7.984621,1,464.258775
-7.99999,1,464.492709
-14.998039,3,465.121739
-8.012953,1,465.355209
-9.990459,14,468.192572
-11.016805,1,468.473433
-8.891335,3,469.278045
-26.19115,22,476.833633
-10.431491,14,480.733304
-10.411647,15,484.441933
-4.529574,11,489.126542
-11.940166,14,494.046055
-7.852881,1,494.250214
-8.055173,1,494.461445
-5.021066,1,494.678816
-8.003503,1,494.894309
-5.108214,1,495.149617
-4.9958,1,495.363406
-8.031825,1,495.576317
-7.98285,1,495.791232
-7.948386,1,495.991899
-8.171818,1,496.208532
-7.937473,1,496.415492
-4.971307,1,496.629107
-8.043935,1,496.839719
-8.017767,1,497.108377
-5.011183,1,497.309897
-7.975526,1,497.525137
-7.972894,1,497.737914
-7.963852,1,497.954684
-5.004838,1,498.1731
-8.298794,1,498.37654
-8.023947,1,498.588248
-4.782102,1,498.84892
-10.032311,2,499.226964
-8.005592,1,499.433953
-7.993629,1,499.64579
-7.997431,1,499.856612
-4.984809,1,500.062824
-6.152238,1,500.290427
-4.563531,10,504.017727
-8.662838,11,508.291333
-4.921017,1,508.576545
-10.390971,14,514.098258
-6.521211,12,518.670145
-2.656379,11,523.052292
-4.927601,1,523.714007
-10.525537,12,528.760458
-17.457661,14,534.313696
-13.524017,13,539.627999
-23.275871,20,544.409277
-9.550353,11,548.824418
-5.190499,11,552.538153
-4.805847,1,552.743398
-5.067089,1,552.964589
-8.090793,1,553.175831
-19.605079,17,559.35035
-4.688068,10,563.580172
-9.040027,1,563.821872
-2.933608,1,564.221613
-2.972993,1,564.472655
-4.940388,2,564.791131
-6.023301,1,565.07493
-3.001061,1,565.333722
-8.059381,1,565.578278
-10.062058,2,565.935282
-8.046312,1,566.159321
-5.01235,1,566.35786
-8.150189,1,566.566783
-4.862518,1,566.792159
-4.942797,1,567.052449
-7.790207,1,567.269376
-9.118579,3,567.831598
-4.971545,1,568.071545
-7.858917,1,568.291372
-9.995329,2,568.653176
-5.015255,1,568.866866
-8.205397,1,569.076281
-4.850283,1,569.284598
-7.973622,1,569.501094
-6.674319,2,569.886481
-7.001478,2,570.23754
-8.04103,1,570.457372
-8.872636,3,570.987144
-4.838686,1,571.193776
-7.858349,1,571.404512
-7.802475,1,571.617069
-7.828947,1,571.875654
-7.949187,1,572.086798
-8.097146,1,572.30075
-11.340716,1,572.51625
-7.986974,1,572.739534
-8.115592,1,572.943836
-7.823421,1,573.160798
-7.076136,2,573.53372
-4.6506,1,573.795507
-5.120736,1,574.006923
-7.517812,1,574.217122
-4.642311,1,574.427377
-10.637582,2,574.791388
-8.138038,1,575.001656
-8.178124,1,575.212564
-8.53051,1,575.461149
-8.687847,1,575.677494
-7.452698,1,575.885873
-4.632694,1,576.077494
-18.462744,17,581.826513
-28.149906,21,592.133818
-9.989053,2,592.546451
-14.622902,10,595.35358
-10.991385,1,595.588388
-10.9929,1,595.791904
-9.000489,3,596.455917
-10.579405,12,599.727099
-12.742641,5,601.327122
-6.679002,11,605.791294
-11.87527,3,607.034502
-6.696884,11,611.300902
-7.951283,1,611.645839
-12.481959,13,616.780566
-22.213523,18,621.131032
-17.519902,15,626.998627
-8.02902,1,627.219504
-8.02719,1,627.436495
-8.047721,1,627.66776
-7.983527,1,627.889868
-7.845898,1,628.109199
-8.030507,1,628.324894
-7.950134,1,628.547273
-8.057341,1,628.771126
-8.014316,1,629.043812
-5.208998,1,629.312742
-17.604513,14,634.690929
-14.308627,14,640.539486
-11.62551,12,645.321771
-7.970143,1,645.563541
-14.010495,4,646.361826
-8.020981,1,646.571697
-8.00404,1,646.797434
-10.016855,2,647.255715
-7.976919,1,647.480084
-11.026218,1,647.712757
-13.997786,4,648.460321
-12.004088,3,649.087912
-8.004852,1,649.314478
-8.009044,1,649.610675
-11.000136,1,649.838839
-12.979027,12,652.288181
-22.73446,10,657.209145
-10.507533,13,661.770192
-7.935496,12,664.391715
-11.030431,1,664.656532
-11.013117,1,664.914997
-8.000326,1,665.170975
-7.997688,1,665.417515
-13.007756,2,665.844573
-8.009552,1,666.088987
-16.709392,13,669.345238
-7.99509,1,669.595715
-8.986652,5,670.69923
-10.97183,1,670.926939
-8.002396,1,671.344079
-10.996591,1,671.63291
-11.030802,1,671.894614
-10.982642,1,672.232332
-12.994992,2,672.77493
-11.977859,13,675.654247
-7.986672,1,676.047378
-8.080597,2,676.502361
-5.054962,1,676.720554
-7.892138,1,676.931237
-6.891069,2,677.305176
-8.166308,1,677.507926
-8.212949,1,677.721327
-7.702484,1,677.938606
-8.062225,1,678.160682
-8.50965,1,678.371875
-5.274829,1,678.632423
-8.242644,1,678.901019
-4.797308,1,679.154411
-6.938114,2,679.532627
-5.205343,1,679.733621
-4.811014,11,683.401234
-8.378578,14,688.875757
-13.449593,14,694.714661
-9.719755,11,697.320998
-8.05593,1,697.515252
-4.949772,1,697.785051
-8.202821,1,697.988132
-10.097967,2,698.35829
-6.015209,1,698.565828
-4.542359,11,702.648942
-2.748281,13,707.323477
-9.954521,2,707.782268
-7.99854,1,707.984622
-7.990368,1,708.186261
-12.003945,3,708.727039
-9.999097,2,709.125649
-10.995164,1,709.32369
-10.978775,1,709.582045
-30.512448,26,717.082541
-2.692309,10,721.354652
-7.529899,12,726.002131
-11.496095,14,731.542307
-4.747607,10,736.03932
-10.087192,2,736.449208
-5.026863,1,736.726182
-8.917468,3,737.243922
-4.937892,1,737.462223
-3.190648,1,737.673853
-12.366975,17,743.870754
-10.302135,15,750.20532
-8.851018,11,754.507759
-8.140446,1,754.734849
-9.227194,3,755.322201
-5.218367,1,755.538572
-7.966206,1,755.751137
-6.971574,12,759.844579
-8.033509,1,760.069145
-7.957127,1,760.332386
-4.983356,1,760.603183
-8.005094,1,760.816388
-2.895965,10,764.40928
-11.001415,2,764.958997
-6.994436,2,765.636533
-8.00453,1,765.992883
-7.999433,1,766.502512
-5.063312,2,767.03617
-12.002534,3,767.565302
-7.468235,2,767.934869
-7.922586,1,768.144828
-8.284488,1,768.415291
-5.016985,1,768.636781
-6.930524,2,769.011841
-7.815582,1,769.233373
-8.423617,1,769.443007
-7.696204,1,769.649008
-8.288658,1,769.868999
-8.294861,1,770.087211
-13.327339,2,770.523236
-7.749968,1,770.731654
-9.610704,2,771.103723
-8.304619,1,771.323751
-7.823037,1,771.578507
-4.854692,1,771.804088
-7.956735,1,772.012848
-7.907475,1,772.235999
-4.907404,1,772.488143
-9.898465,2,772.880733
-8.201259,1,773.102651
-7.547612,1,773.305671
-8.397223,1,773.521895
-8.096065,1,773.74959
-8.100354,1,773.943083
-4.806635,1,774.214474
-5.013006,1,774.43795
-5.099041,1,774.65748
-10.326194,2,775.020437
-12.593819,3,775.555113
-9.754973,1,775.780166
-8.28192,1,776.000925
-8.056337,1,776.266566
-12.16221,1,776.568181
-13.971199,4,777.23792
-13.607601,2,777.604752
-5.257274,1,777.820596
-9.363893,2,778.186267
-9.118826,1,778.630829
-11.31683,1,778.848502
-7.071837,1,779.056938
-8.634004,1,779.273821
-8.342603,1,779.46974
-10.130008,1,779.68272
-8.054391,1,780.045434
